model,path,source_repository,model_type,schema,file_size_mb,parse_status,parse_error,validation_service_status,license_status,IfcProject,IfcSite,IfcBuilding,IfcBuildingStorey,IfcSpace,IfcWall,IfcDoor,IfcWindow,IfcSlab,IfcBeam,IfcColumn,IfcStair,IfcRailing,IfcDistributionElement,IfcBuildingElement,has_ifcsite,has_ifcbuilding,has_ifcspace,door_count,wall_count,site_count,completeness_tier
pass-name-restrictions-will-match-any-result-1-3-207af082,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-name_restrictions_will_match_any_result_1_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-name-restrictions-will-match-any-result-2-3-81997d9b,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-name_restrictions_will_match_any_result_2_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-name-restrictions-will-match-any-result-3-3-46b341b7,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-name_restrictions_will_match_any_result_3_3.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-non-ascii-characters-are-treated-without-encoding-0e2482c5,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-non_ascii_characters_are_treated_without_encoding.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False,False,False,0,1,0,test-fragment
pass-numeric-values-are-checked-using-type-casting-1-4-7a978fb2,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-numeric_values_are_checked_using_type_casting_1_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-numeric-values-are-checked-using-type-casting-2-4-da3f2e32,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-numeric_values_are_checked_using_type_casting_2_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-numeric-values-are-checked-using-type-casting-3-4-263a50bf,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-numeric_values_are_checked_using_type_casting_3_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-only-specifically-formatted-numbers-are-allowed-3-4-f20565b1,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-only_specifically_formatted_numbers_are_allowed_3_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-only-specifically-formatted-numbers-are-allowed-4-4-42e4d26c,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-only_specifically_formatted_numbers_are_allowed_4_4.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
pass-strict-numeric-checking-may-be-done-with-a-bounds-r-a0dec448,IDS-development/Documentation/ImplementersDocumentation/TestCases/attribute/pass-strict_numeric_checking_may_be_done_with_a_bounds_restriction.ifc,buildingSMART IDS repository,ids-validator-testcase,IFC4,0.0,ok,,not_tested,inspect_only_raw_not_redistributed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,0,0,test-fragment
