model,source_repository,schema,model_type,completeness_tier,applicable_rules,target_count,pass_count,model_readiness_index
pass-a-name-check-will-match-any-quantity-with-any-value-eae2fb46,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-number-specified-as-a-string-is-treated-as-a-stri-1691de54,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-predefined-type-may-specify-a-user-defined-object-686f8d1a,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-property-set-to-false-is-still-considered-a-value-cc96c3bc,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-property-set-to-true-will-pass-a-name-check-60a6fdbd,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-required-facet-checks-all-parameters-as-normal-45edfc66,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-required-facet-checks-all-parameters-as-normal-53219836,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-required-facet-checks-all-parameters-as-normal-5b8d276a,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,10,3,0.3
pass-a-required-facet-checks-all-parameters-as-normal-6372f302,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,21,4,0.19047619047619047
pass-a-required-facet-checks-all-parameters-as-normal-b1278f37,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-a-specification-passes-only-if-all-requirements-pas-1ea36d94,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-a-zero-duration-will-pass-122780a4,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-all-matching-properties-must-satisfy-requirements-1-92998b86,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-all-matching-properties-must-satisfy-requirements-2-839f6576,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-all-matching-property-sets-must-satisfy-requirement-0e811c90,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-all-matching-property-sets-must-satisfy-requirement-32db133c,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-aggregate-entity-may-pass-any-ancestral-whole-pa-88d5b49e,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,14,5,0.35714285714285715
pass-an-aggregate-may-specify-the-entity-of-the-whole-1--54ac356f,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,10,3,0.3
pass-an-aggregate-may-specify-the-predefined-type-of-the-06fc5840,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,5,10,4,0.4
pass-an-enumeration-matches-case-sensitively-1-3-54c5485a,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-an-enumeration-matches-case-sensitively-2-3-ec1d6cdb,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-an-matching-entity-should-pass-regardless-of-predef-97feba0d,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-an-optional-attribute-passes-if-null-4dea7d59,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-attribute-passes-if-specified-75768f49,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-an-optional-classification-value-passes-if-null-4c94cbaf,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-classification-value-passes-if-specifie-4acc4efe,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-facet-always-passes-regardless-of-outco-477534b7,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-facet-always-passes-regardless-of-outco-c0d379e1,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-material-passes-if-null-d4905124,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,1,0.16666666666666666
pass-an-optional-material-passes-if-specified-a47c4d70,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-any-constituent-category-in-a-constituent-set-will--413dedac,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
pass-any-constituent-name-in-a-constituent-set-will-pass-19f583dc,buildingSMART IDS repository,IFC4,ids-validator-testcase,test-fragment,6,6,2,0.3333333333333333
