model,source_repository,model_type,completeness_tier,schema,rule_id,target_count,direct_reference_pass_count,direct_reference_pass_rate
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,2,0,0.0
fail-attributes-with-an-empty-list-always-fail-76240ec0,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-attributes-with-an-empty-set-always-fail-be6f4409,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,1,1,1.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,1,0,0.0
fail-attributes-with-empty-strings-always-fail-a2dedfc3,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,1,1,1.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,1,0,0.0
fail-attributes-with-null-values-always-fail-4d8d2fdc,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-booleans-must-be-specified-as-lowercase-strings-1-3-bee6ca2c,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-dates-are-treated-as-strings-1-2-57d3112d,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R06_DOOR_CLEAR_WIDTH,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R07_WINDOW_DIMENSIONS,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R08_SPACE_AREA,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R09_FIRE_RATING,0,0,
fail-durations-are-treated-as-strings-2-2-86c4fbec,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R10_SITE_GEOREFERENCE,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R01_GLOBAL_ID,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R02_OBJECT_NAME,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R03_TYPE_OR_OBJECTTYPE,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R04_SPATIAL_CONTAINMENT,0,0,
fail-ids-does-not-handle-string-truncation-such-as-for-i-4ec67d0f,buildingSMART IDS repository,ids-validator-testcase,test-fragment,IFC4,R05_MATERIAL_AVAILABLE,0,0,
